"region","technology","year"
"Africa_Eastern","coal (IGCC) (once through)",2020
"Africa_Eastern","coal (IGCC) (once through)",2025
"Africa_Eastern","coal (IGCC) (once through)",2030
"Africa_Eastern","coal (IGCC) (once through)",2035
"Africa_Eastern","coal (IGCC) (once through)",2040
"Africa_Eastern","coal (IGCC) (once through)",2045
"Africa_Eastern","coal (IGCC) (once through)",2050
"Africa_Eastern","coal (IGCC) (once through)",2055
"Africa_Eastern","coal (IGCC) (once through)",2060
"Africa_Eastern","coal (IGCC) (once through)",2065
"Africa_Eastern","coal (IGCC) (once through)",2070
"Africa_Eastern","coal (IGCC) (once through)",2075
"Africa_Eastern","coal (IGCC) (once through)",2080
"Africa_Eastern","coal (IGCC) (once through)",2085
"Africa_Eastern","coal (IGCC) (once through)",2090
"Africa_Eastern","coal (IGCC) (once through)",2095
"Africa_Eastern","coal (IGCC) (once through)",2100
"Africa_Eastern","coal (IGCC) (seawater)",1975
"Africa_Eastern","coal (IGCC) (seawater)",1990
"Africa_Eastern","coal (IGCC) (seawater)",2005
"Africa_Eastern","coal (IGCC) (seawater)",2010
"Africa_Eastern","coal (IGCC) (seawater)",2015
"Africa_Eastern","coal (IGCC) (seawater)",2020
"Africa_Eastern","coal (IGCC) (seawater)",2025
"Africa_Eastern","coal (IGCC) (seawater)",2030
"Africa_Eastern","coal (IGCC) (seawater)",2035
"Africa_Eastern","coal (IGCC) (seawater)",2040
"Africa_Eastern","coal (IGCC) (seawater)",2045
"Africa_Eastern","coal (IGCC) (seawater)",2050
"Africa_Eastern","coal (IGCC) (seawater)",2055
"Africa_Eastern","coal (IGCC) (seawater)",2060
"Africa_Eastern","coal (IGCC) (seawater)",2065
"Africa_Eastern","coal (IGCC) (seawater)",2070
"Africa_Eastern","coal (IGCC) (seawater)",2075
"Africa_Eastern","coal (IGCC) (seawater)",2080
"Africa_Eastern","coal (IGCC) (seawater)",2085
"Africa_Eastern","coal (IGCC) (seawater)",2090
"Africa_Eastern","coal (IGCC) (seawater)",2095
"Africa_Eastern","coal (IGCC) (seawater)",2100
"Africa_Eastern","coal (IGCC) (recirculating)",1975
"Africa_Eastern","coal (IGCC) (recirculating)",1990
