electricity,wind,wind_storage,1975,1681,
electricity,wind,wind_storage,1990,1681,
electricity,wind,wind_storage,2005,1681,
electricity,wind,wind_storage,2010,1681,
electricity,wind,wind_storage,2015,1681,
electricity,wind,wind_storage,2020,1272,
electricity,wind,wind_storage,2025,987,
electricity,wind,wind_storage,2030,789,
electricity,wind,wind_storage,2035,651,
electricity,wind,wind_storage,2040,555,
electricity,wind,wind_storage,2045,489,
electricity,wind,wind_storage,2050,442,
electricity,wind,wind_storage,2055,410,
electricity,wind,wind_storage,2060,387,
electricity,wind,wind_storage,2065,372,
electricity,wind,wind_storage,2070,361,
electricity,wind,wind_storage,2075,353,
electricity,wind,wind_storage,2080,348,
electricity,wind,wind_storage,2085,344,
electricity,wind,wind_storage,2090,342,
electricity,wind,wind_storage,2095,340,
electricity,wind,wind_storage,2100,339,
electricity,wind,wind,1975,451,
electricity,wind,wind,1990,451,
electricity,wind,wind,2005,451,
electricity,wind,wind,2010,451,
electricity,wind,wind,2015,451,
electricity,wind,wind,2020,387,
electricity,wind,wind,2025,341,
electricity,wind,wind,2030,306,
electricity,wind,wind,2035,281,
electricity,wind,wind,2040,263,
electricity,wind,wind,2045,249,
electricity,wind,wind,2050,239,
electricity,wind,wind,2055,232,
electricity,wind,wind,2060,227,
electricity,wind,wind,2065,223,
electricity,wind,wind,2070,220,
electricity,wind,wind,2075,218,
electricity,wind,wind,2080,216,
electricity,wind,wind,2085,215,
electricity,wind,wind,2090,214,
electricity,wind,wind,2095,214,
electricity,wind,wind,2100,213,
electricity,wind,wind_offshore,1975,1118,
electricity,wind,wind_offshore,1990,1118,
electricity,wind,wind_offshore,2005,1118,
electricity,wind,wind_offshore,2010,1118,
electricity,wind,wind_offshore,2015,1118,
electricity,wind,wind_offshore,2020,886,
electricity,wind,wind_offshore,2025,722,
electricity,wind,wind_offshore,2030,606,
electricity,wind,wind_offshore,2035,524,
electricity,wind,wind_offshore,2040,466,
electricity,wind,wind_offshore,2045,425,
electricity,wind,wind_offshore,2050,396,
electricity,wind,wind_offshore,2055,376,
electricity,wind,wind_offshore,2060,361,
electricity,wind,wind_offshore,2065,351,
electricity,wind,wind_offshore,2070,343,
electricity,wind,wind_offshore,2075,338,
electricity,wind,wind_offshore,2080,335,
electricity,wind,wind_offshore,2085,332,
electricity,wind,wind_offshore,2090,330,
electricity,wind,wind_offshore,2095,329,
electricity,wind,wind_offshore,2100,328,
